Observation time UTC,Air temperature (dry bulb) [Deg C],Wet bulb temperature [Deg C],Dew point temperature [Deg C],Relative humidity [%],Data Source (dry bulb),Data Source (wet bulb)
1942-10-21T21:00:00Z,19.5,18.4,17.7,89.5,D,D
1942-10-22T21:00:00Z,19,17.7,16.9,87.4,D,D
1942-10-23T21:00:00Z,19.3,16.9,15.3,77.4,D,D
1942-10-24T21:00:00Z,16.8,13.9,11.5,70.9,D,D
1942-10-25T21:00:00Z,16.3,12.7,9.4,63.7,D,D
1942-10-26T21:00:00Z,15.9,13.4,11.3,74,D,D
1942-10-27T21:00:00Z,16.1,12.4,9,62.5,D,D
1942-10-28T21:00:00Z,15.3,11.3,7.3,58.6,D,D
1942-10-29T21:00:00Z,15.6,12.3,9.2,65.8,D,D
1942-10-30T21:00:00Z,15.6,12.2,9,64.9,D,D
1942-10-31T21:00:00Z,15.5,12.5,9.8,68.7,D,D
1942-11-01T21:00:00Z,15.1,12.2,9.5,69.3,D,D
1942-11-02T21:00:00Z,16.2,12.1,8.2,58.9,D,D
1942-11-03T21:00:00Z,15.2,10.8,6.1,54.6,D,D
1942-11-04T21:00:00Z,13.3,8.6,2.7,48.6,D,D
1942-11-05T21:00:00Z,15.9,11.9,8,59.4,D,D
1942-11-06T21:00:00Z,14.8,11.8,9,68,D,D
1942-11-07T21:00:00Z,16.1,13.9,12.1,77.2,D,D
1942-11-08T21:00:00Z,17.3,15.4,14,80.9,D,D
1942-11-09T21:00:00Z,17.9,16.6,15.7,87,D,D
1942-11-10T21:00:00Z,18.7,16.7,15.3,80.7,D,D
1942-11-11T21:00:00Z,20.2,18.7,17.8,86,D,D
1942-11-12T21:00:00Z,16.3,13.3,10.7,69.5,D,D
1942-11-13T21:00:00Z,17.5,14.6,12.3,71.5,D,D
1942-11-14T21:00:00Z,18.9,16.6,15,78.1,D,D
1942-11-15T21:00:00Z,18.3,14.9,12.2,67.6,D,D
1942-11-16T21:00:00Z,19.1,17.2,15.9,81.9,D,D
1942-11-17T21:00:00Z,19.9,16.4,13.9,68.2,D,D
1942-11-18T21:00:00Z,18.4,13.6,9.3,55.5,D,D
1942-11-19T21:00:00Z,18.8,15,12,64.6,D,D
1942-11-20T21:00:00Z,18.4,15.5,13.3,72.3,D,D
1942-11-21T21:00:00Z,20.4,16.3,13.3,63.7,D,D
1942-11-22T21:00:00Z,19.9,17.1,15.2,74.3,D,D
1942-11-23T21:00:00Z,19.6,16.4,14.1,70.6,D,D
1942-11-24T21:00:00Z,20.4,17.1,14.8,70.4,D,D
1942-11-25T21:00:00Z,19.3,17.4,16.1,82,D,D
1942-11-26T21:00:00Z,18.1,17.6,17.3,95,D,D
1942-11-27T21:00:00Z,18.4,16,14.3,76.8,D,D
1942-11-28T21:00:00Z,19.9,15.7,12.5,62.3,D,D
1942-11-29T21:00:00Z,15.4,12.1,9,65.6,D,D
1942-11-30T21:00:00Z,17.2,13.9,11.1,67.5,D,D
1942-12-01T21:00:00Z,19.9,14.4,9.7,51.7,D,D
1942-12-02T21:00:00Z,20.1,18.1,16.8,81.5,D,D
1942-12-03T21:00:00Z,20,16.7,14.4,70,D,D
1942-12-04T21:00:00Z,16.5,14.1,12.2,75.5,D,D
1942-12-05T21:00:00Z,18.3,13.9,10.1,58.8,D,D
1942-12-06T21:00:00Z,18.9,15.3,12.5,66.4,D,D
